series_id,area_id,center_t1,to_class,kliep_abs,cva_mag_mean,overall_score,change_date
S01,A01,25,building,0.1826,0.3513,0.26695,2022-01-28
S01,A01,27,building,0.0413,0.3013,0.1713,2022-04-18
S01,A01,28,building,0.0119,0.1189,0.0654,2022-05-08
