series_id,area_id,center_t1,to_class,kliep_abs,cva_mag_mean,overall_score,change_date
S01,A01,32,building,2.2526,1.0221,1.63735,2021-10-28
S01,A01,51,building,0.085,0.2392,0.1621,2022-04-13
S01,A01,41,building,0.0637,0.2013,0.1325,2022-01-16
