series_id,area_id,center_t1,to_class,kliep_abs,cva_mag_mean,overall_score,change_date
S01,A01,38,building,0.4187,0.7129,0.5658,2020-10-13
S01,A01,30,building,0.5178,0.1053,0.31155,2020-08-29
S01,A01,33,building,0.2305,0.2546,0.24255,2020-09-10
